,Name,Event,Time (s),Model,value,error
201,18,13,461.87,Random Forest,467.87508000000145,-6.005080000001442
202,18,4,879.65,Random Forest,887.6814200000009,-8.031420000000935
203,17,6,127.93,Random Forest,128.7412000000005,-0.8112000000004969
204,16,12,21.07,Random Forest,21.274880000000106,-0.20488000000010587
205,16,3,47.02,Random Forest,47.50999999999977,-0.4899999999997675
206,16,2,49.45,Random Forest,50.150919999999964,-0.7009199999999609
207,15,10,224.88,Random Forest,225.43216000000072,-0.5521600000007254
208,14,9,116.17,Random Forest,117.3579800000003,-1.1879800000002945
209,13,8,104.22,Random Forest,105.30765999999986,-1.0876599999998575
210,12,7,115.19,Random Forest,117.4086600000002,-2.218660000000199
211,11,12,21.79,Random Forest,21.77336000000005,0.01663999999994914
212,10,9,117.68,Random Forest,120.5386200000004,-2.8586200000004
213,9,13,473.31,Random Forest,469.12368000000095,4.186319999999057
214,8,11,251.22,Random Forest,251.13658000000038,0.08341999999962013
215,8,9,117.7,Random Forest,118.01268000000003,-0.3126800000000287
216,7,6,127.24,Random Forest,127.37339999999999,-0.13339999999999463
217,6,7,115.88,Random Forest,116.42589999999996,-0.5458999999999605
218,5,3,47.08,Random Forest,47.62004000000005,-0.5400400000000545
219,4,0,52.3,Random Forest,52.88502000000015,-0.5850200000001493
220,3,7,114.45,Random Forest,115.61738000000034,-1.1673800000003354
221,2,7,115.46,Random Forest,116.98113999999987,-1.5211399999998747
222,1,13,469.14,Random Forest,470.7084399999995,-1.568439999999498
223,1,10,224.07,Random Forest,224.31696000000179,-0.24696000000179197
224,1,4,903.47,Random Forest,919.2268799999969,-15.75687999999684
225,0,12,21.6,Random Forest,21.78324000000002,-0.18324000000001917
226,0,9,117.31,Random Forest,116.47597999999982,0.8340200000001801
227,0,1,58.84,Random Forest,58.65135999999993,0.18864000000007053
228,88,12,21.78,XGBoost,21.989173889160156,-0.2091738891601551
229,87,1,58.99,XGBoost,58.682132720947266,0.30786727905273636
230,86,0,52.51,XGBoost,52.5434684753418,-0.033468475341798865
231,85,10,225.2,XGBoost,224.12318420410156,1.0768157958984261
232,84,1,58.99,XGBoost,58.8315315246582,0.15846847534179886
233,83,6,128.19,XGBoost,128.48809814453125,-0.2980981445312523
234,83,1,58.96,XGBoost,58.914710998535156,0.0452890014648446
235,82,13,462.68,XGBoost,467.7092590332031,-5.029259033203118
236,82,4,880.91,XGBoost,891.1427612304688,-10.232761230468782
237,81,9,115.0,XGBoost,115.74820709228516,-0.7482070922851562
238,80,11,250.59,XGBoost,250.7288055419922,-0.1388055419921841
239,79,2,50.92,XGBoost,50.30197525024414,0.6180247497558611
240,78,5,116.15,XGBoost,115.95160675048828,0.19839324951172443
241,77,6,126.38,XGBoost,127.21468353271484,-0.8346835327148483
242,76,10,223.94,XGBoost,223.54489135742188,0.3951086425781227
243,76,8,105.12,XGBoost,104.64868927001953,0.4713107299804733
244,75,11,250.38,XGBoost,250.36607360839844,0.013926391601557953
245,74,1,59.36,XGBoost,58.83443832397461,0.5255616760253901
246,73,9,116.22,XGBoost,116.40442657470703,-0.1844265747070324
247,72,9,115.28,XGBoost,115.16328430175781,0.11671569824218864
248,72,8,104.26,XGBoost,104.90274810791016,-0.6427481079101511
249,71,8,104.66,XGBoost,105.2292251586914,-0.5692251586914097
250,70,5,113.27,XGBoost,112.93115997314453,0.33884002685546477
251,70,0,51.98,XGBoost,52.00828552246094,-0.028285522460940626
252,69,13,462.33,XGBoost,463.84197998046875,-1.511979980468766
253,69,4,880.66,XGBoost,873.4933471679688,7.166652832031218
254,68,11,251.32,XGBoost,250.68389892578125,0.6361010742187432
255,67,8,105.78,XGBoost,105.34710693359375,0.43289306640625114
256,66,12,21.72,XGBoost,21.68295669555664,0.03704330444335824
257,65,8,104.68,XGBoost,107.07591247558594,-2.3959124755859307
258,65,3,48.04,XGBoost,46.64178466796875,1.3982153320312491
259,64,2,50.74,XGBoost,51.01120376586914,-0.27120376586913864
260,63,6,128.88,XGBoost,127.42713165283203,1.4528683471679642
261,62,1,57.37,XGBoost,57.94612121582031,-0.5761212158203151
262,61,13,462.11,XGBoost,461.4774169921875,0.6325830078125136
263,61,4,885.01,XGBoost,866.1909790039062,18.81902099609374
264,60,3,48.1,XGBoost,47.51028060913086,0.589719390869142
265,59,5,114.15,XGBoost,114.32948303222656,-0.17948303222655682
266,59,0,52.19,XGBoost,52.5886344909668,-0.39863449096679915
267,58,6,128.42,XGBoost,128.74703979492188,-0.3270397949218875
268,57,10,224.07,XGBoost,224.5567169189453,-0.4867169189453193
269,56,10,225.39,XGBoost,225.2038116455078,0.18618835449217386
270,55,3,47.86,XGBoost,47.157554626464844,0.7024453735351557
271,54,2,50.88,XGBoost,51.2492561340332,-0.36925613403320057
272,53,7,111.25,XGBoost,111.4554672241211,-0.20546722412109375
273,53,2,49.68,XGBoost,50.06439208984375,-0.3843920898437503
274,52,2,51.49,XGBoost,51.38555145263672,0.10444854736328324
275,51,5,115.49,XGBoost,114.43788146972656,1.0521185302734324
276,50,13,465.0,XGBoost,462.61639404296875,2.38360595703125
277,50,10,223.52,XGBoost,223.72215270996094,-0.20215270996092727
278,49,6,127.13,XGBoost,126.30236053466797,0.8276394653320267
279,48,4,895.85,XGBoost,905.1475830078125,-9.297583007812477
280,47,2,51.09,XGBoost,51.404090881347656,-0.31409088134765284
281,46,1,58.33,XGBoost,58.563621520996094,-0.23362152099609546
282,45,11,251.16,XGBoost,251.37625122070312,-0.2162512207031284
283,44,12,21.55,XGBoost,23.47772789001465,-1.9277278900146477
284,43,8,105.01,XGBoost,104.783203125,0.22679687500000512
285,42,2,50.92,XGBoost,50.94255065917969,-0.022550659179685795
286,41,11,250.28,XGBoost,251.1669921875,-0.8869921874999989
287,40,11,250.59,XGBoost,250.46600341796875,0.12399658203125341
288,39,7,114.93,XGBoost,115.6878662109375,-0.7578662109374932
289,38,0,52.79,XGBoost,52.37995910644531,0.41004089355468665
290,37,3,47.44,XGBoost,46.940879821777344,0.499120178222654
291,37,0,52.0,XGBoost,52.28290939331055,-0.2829093933105469
292,36,7,114.52,XGBoost,115.2379379272461,-0.7179379272460977
293,35,5,116.39,XGBoost,116.963134765625,-0.5731347656249994
294,34,6,127.01,XGBoost,127.37712860107422,-0.36712860107421363
295,34,1,58.0,XGBoost,57.56437301635742,0.4356269836425781
296,33,11,249.42,XGBoost,249.31185913085938,0.1081408691406125
297,32,4,895.48,XGBoost,903.5191650390625,-8.039165039062482
298,31,5,117.32,XGBoost,115.96927642822266,1.350723571777337
299,30,8,105.26,XGBoost,104.9191665649414,0.34083343505859887
300,30,3,47.82,XGBoost,47.56461715698242,0.2553828430175784
301,29,7,113.73,XGBoost,113.05895233154297,0.6710476684570352
302,28,9,117.49,XGBoost,116.95704650878906,0.5329534912109324
303,27,10,223.36,XGBoost,223.44869995117188,-0.08869995117186136
304,26,3,47.72,XGBoost,47.32731246948242,0.392687530517577
305,25,5,114.72,XGBoost,114.4021224975586,0.3178775024414051
306,24,0,54.89,XGBoost,52.96096420288086,1.9290357971191412
307,24,0,52.78,XGBoost,52.778995513916016,0.0010044860839855119
308,23,0,52.95,XGBoost,53.33323287963867,-0.38323287963866903
309,22,12,21.72,XGBoost,21.638959884643555,0.08104011535644418
310,21,5,119.26,XGBoost,116.82938385009766,2.430616149902349
311,21,5,119.06,XGBoost,116.5410385131836,2.5189614868164085
312,20,13,465.11,XGBoost,465.6966552734375,-0.5866552734374864
313,20,4,904.26,XGBoost,908.955078125,-4.695078125000009
314,19,12,21.57,XGBoost,22.19119644165039,-0.6211964416503903
315,18,13,461.87,XGBoost,464.3079528808594,-2.4379528808593705
316,18,4,879.65,XGBoost,879.5811767578125,0.06882324218747726
317,17,6,127.93,XGBoost,127.04540252685547,0.8845974731445381
318,16,12,21.07,XGBoost,21.606245040893555,-0.5362450408935544
319,16,3,47.02,XGBoost,47.52792739868164,-0.5079273986816375
320,16,2,49.45,XGBoost,50.08115005493164,-0.6311500549316378
321,15,10,224.88,XGBoost,225.4233856201172,-0.543385620117192
322,14,9,116.17,XGBoost,117.02850341796875,-0.8585034179687483
323,13,8,104.22,XGBoost,104.9557876586914,-0.7357876586914074
324,12,7,115.19,XGBoost,115.40381622314453,-0.21381622314453352
325,11,12,21.79,XGBoost,21.457759857177734,0.3322401428222648
326,10,9,117.68,XGBoost,118.75416564941406,-1.0741656494140557
327,9,13,473.31,XGBoost,467.867919921875,5.442080078125002
328,8,11,251.22,XGBoost,251.23133850097656,-0.011338500976563637
329,8,9,117.7,XGBoost,116.43840026855469,1.2615997314453153
330,7,6,127.24,XGBoost,126.593505859375,0.6464941406249949
331,6,7,115.88,XGBoost,115.38553619384766,0.4944638061523392
332,5,3,47.08,XGBoost,47.13869857788086,-0.05869857788086108
333,4,0,52.3,XGBoost,52.556488037109375,-0.25648803710937784
334,3,7,114.45,XGBoost,114.5260238647461,-0.07602386474609091
335,2,7,115.46,XGBoost,117.01673889160156,-1.5567388916015688
336,1,13,469.14,XGBoost,482.6686096191406,-13.528609619140639
337,1,10,224.07,XGBoost,223.7889862060547,0.2810137939453057
338,1,4,903.47,XGBoost,922.0908203125,-18.620820312499973
339,0,12,21.6,XGBoost,21.40385627746582,0.1961437225341811
340,0,9,117.31,XGBoost,114.38758087158203,2.922419128417971
341,0,1,58.84,XGBoost,58.41994857788086,0.42005142211914404
